bodyType,brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,price
внедорожник 5 дв.,AUDI,серый,дизель,2015,5,2019,автоматическая,3.0 LTR,249 N12,5599000
седан,RENAULT,белый,бензин,2012,4,2016,механическая,1.6 LTR,82 N12,409500
седан,VAZ,коричневый,бензин,2015,4,2018,механическая,1.6 LTR,106 N12,637500
седан,HYUNDAI,красный,бензин,2006,4,2006,автоматическая,1.6 LTR,122 N12,430000
внедорожник 5 дв.,INFINITI,белый,бензин,2008,5,2010,автоматическая,3.7 LTR,333 N12,1297000
внедорожник 5 дв.,OPEL,серебристый,бензин,2012,5,2014,автоматическая,1.8 LTR,140 N12,745000
седан,KIA,белый,бензин,2017,4,2018,автоматическая,1.6 LTR,123 N12,1099000
внедорожник 5 дв.,MITSUBISHI,белый,бензин,2012,5,2014,вариатор,2.0 LTR,146 N12,1280000
седан,MITSUBISHI,чёрный,бензин,2011,4,2012,механическая,1.8 LTR,140 N12,585000
внедорожник 5 дв.,RENAULT,серебристый,бензин,2016,5,2017,автоматическая,2.0 LTR,143 N12,1135000
седан,FORD,белый,бензин,2014,4,2015,автоматическая,2.5 LTR,149 N12,1315000
хэтчбек 5 дв.,FORD,синий,бензин,2007,5,2010,автоматическая,1.6 LTR,100 N12,449000
